to_email,subject,body,shop_name,website
info@whaleteausa.com,The Whale Tea Support & Sponsorship for a Columbia student-run event,"Subject: The Whale Tea Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear The Whale Tea General Inquiries Team,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>our delicious bubble teas and refreshing drinks, or perhaps some branded merchandise such as stickers or pins.</dynamic>

<dynamic>We felt compelled to reach out to The Whale Tea not only because our members enjoy your refreshing tea and boba drinks, but also because we believe your commitment to quality and customer experience aligns well with our club’s ethos.</dynamic> If this event aligns with The Whale Tea’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with The Whale Tea's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",The Whale Tea,http://www.whaleteausa.com/
me@ease.The,Qahwah House - Broadway Support & Sponsorship for a Columbia student-run event,"Subject: Qahwah House - Broadway Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear Qahwah House - Broadway Management,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic><dynamic>refreshments, including our authentic Yemeni coffee, or promotional materials such as stickers and branded merchandise.</dynamic></dynamic>

<dynamic>We felt compelled to reach out not only because our members enjoy your authentic Yemeni coffee, but also because your dedication to quality and bridging communities through culture deeply aligns with our club’s values.</dynamic> If this event aligns with Qahwah House - Broadway’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with Qahwah House - Broadway's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",Qahwah House - Broadway,https://www.qahwahhouse.com/
inquiries@gongchausa.com,Gong Cha Support & Sponsorship for a Columbia student-run event,"Subject: Gong Cha Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear Gong Cha Customer Service Team,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>refreshments, such as Gong Cha's signature bubble teas and other delightful drinks, alongside any promotional materials like stickers or pins.</dynamic>

<dynamic>We felt compelled to reach out not only because our members are big fans of Gong Cha's delicious tea and boba drinks, but also because we admire your franchise's commitment to personalized service and quality products, which resonates strongly with our club's values.</dynamic> If this event aligns with Gong Cha’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with Gong Cha's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",Gong Cha,http://www.gongchausa.com/
info@thecraftsmannyc.com,The Craftsman Support & Sponsorship for a Columbia student-run event,"Subject: The Craftsman Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear The Craftsman Management Team,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>refreshments, or unique promotional materials from The Craftsman, such as branded stickers, pins, or apparel.</dynamic>

<dynamic>We felt compelled to reach out to you not only because our members enjoy the products from The Craftsman, but also because we believe your business’s values closely align with our club’s.</dynamic> If this event aligns with The Craftsman’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with The Craftsman's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",The Craftsman,http://www.thecraftsmannyc.com/
citycoffeebarus@gmail.com,City Coffee & Bar Support & Sponsorship for a Columbia student-run event,"Subject: City Coffee & Bar Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear City Coffee & Bar Team,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>our delightful refreshments, including a variety of drinks, or perhaps some branded items like stickers and pins.</dynamic>

<dynamic>We felt compelled to reach out to you not only because our members enjoy your offerings, but also because we believe City Coffee & Bar's commitment to warmth and community closely aligns with our club’s.</dynamic> If this event aligns with City Coffee & Bar’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with City Coffee & Bar's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",City Coffee & Bar,https://www.citycoffeebar.com/
calculated@checkout.Your,K BEAUTY OUTLET Support & Sponsorship for a Columbia student-run event,"Subject: K BEAUTY OUTLET Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear K BEAUTY OUTLET General Inquiries Team,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>refreshments, or promotional materials, such as complimentary K-Beauty samples, branded accessories, or exclusive offers.</dynamic>

<dynamic>We felt compelled to reach out to you not only because our members enjoy your K-Beauty products, but also because we admire K BEAUTY OUTLET's commitment to customer care, which resonates strongly with our club’s values.</dynamic> If this event aligns with K BEAUTY OUTLET’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with K BEAUTY OUTLET's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",K BEAUTY OUTLET,https://www.kbeautyoutletusa.com/
delivery@hanamartcorp.com,H Mart Support & Sponsorship for a Columbia student-run event,"Subject: H Mart Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear H Mart Customer Service Team,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>refreshments, or promotional materials, such as a selection of beverages and branded merchandise.</dynamic>

<dynamic>We felt compelled to reach out to you not only because our members frequently enjoy the diverse selection at H Mart, a short walk from Columbia, but also because we admire your dedication to providing quality products to the local community.</dynamic> If this event aligns with H Mart’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with H Mart's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",H Mart,http://www.hmartdelivery.com/
Merci.d@bogopausa.com,FOOD BAZAAR Support & Sponsorship for a Columbia student-run event,"Subject: FOOD BAZAAR Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear FOOD BAZAAR Customer Service,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>refreshments, or a selection of promotional materials, such as branded merchandise.</dynamic>

<dynamic>We felt compelled to reach out to you not only because our members enjoy shopping at FOOD BAZAAR, but also because we believe your commitment to value, variety, and fresh, high-quality products closely aligns with our club’s mission.</dynamic> If this event aligns with FOOD BAZAAR’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with FOOD BAZAAR's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",FOOD BAZAAR,https://www.foodbazaar.com/find-your-store/
prismaventures@ulta.com,Ulta Beauty Support & Sponsorship for a Columbia student-run event,"Subject: Ulta Beauty Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear Ulta Beauty Customer Service Team,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>refreshments, or promotional materials; beauty samples, mini makeovers, or exclusive offers.</dynamic>

<dynamic>We felt compelled to reach out to you not only because our members enjoy the quality of your products, but also because we admire Ulta Beauty's dedication to enhancing personal well-being through sensory experiences.</dynamic> If this event aligns with Ulta Beauty’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with Ulta Beauty's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",Ulta Beauty,https://www.ulta.com/stores/edgewater-nj-123
ritual@home.The,Savor Beauty + Spa Support & Sponsorship for a Columbia student-run event,"Subject: Savor Beauty + Spa Support & Sponsorship for a Columbia University student-run Martial Arts Club Event

Dear Savor Beauty + Spa Customer Service Team,

I’m Richard Li, Vice President of Columbia University Wushu, New York City’s largest collegiate martial arts club. We host public practices, organize performances, and attend both regional and national Wushu competitions. Our work is shown on our website, columbiawushu.org, and our instagram page, @columbiawushu. The events our club hosts are organized by undergraduate students alone; students seeking to empower our university’s community, and enable the student body to engage with Asian culture. 

Last year, Columbia Wushu hosted our first annual showcase, which hosted 5+ other performing-arts clubs, boasted a Red Bull sponsorship, and garnered over 200+ student body attendees. This year, Columbia Wushu, along with Columbia Lion Dance, are starting the year off strong by organizing a workshop on 10/25 at 3:00 PM in Columbia Sundial meant to teach new and interested individuals the fundamentals of Wushu and Lion Dancing. In order to expand and incentivize engagement with the student body, we are kindly asking for your support in the form of <dynamic>refreshments, or special promotional materials, including delightful drinks, self-love stickers, or exclusive beauty samples.</dynamic>

<dynamic>We felt compelled to reach out to you not only because our members enjoy your exquisite skincare products, but also because we deeply admire Savor Beauty + Spa's commitment to soulcare, which resonates strongly with our club's values.</dynamic> If this event aligns with Savor Beauty + Spa’s mission, then it’s an amazing opportunity to connect with a strong undergraduate community in New York. Any level of help would meaningfully expand outreach to Asian culture on our campus. 

In return, we’ll deliver clear impact and visibility:

Recognition: Acknowledgment of your brand on event banners (within reserved venues), following Columbia branding policies.

Touchpoint: Direct communication with Columbia University’s largest martial arts club.

Shoutouts: Mentions across our social media and newsletters.

Special Opportunities: Invitations to attend our performances as guests of honor.

Any other mutually agreed promotional synergy.

If this aligns with Savor Beauty + Spa's mission, I’d love to schedule a brief call. Thank you for considering a partnership that would directly reduce barriers and increase outreach. We believe this collaboration could deliver a meaningful impact, for both your organization and our student community.

Warm regards,
Richard Li

rjl2194@columbia.edu | Vice President, Columbia Wushu Club | IG: @columbiawushu
",Savor Beauty + Spa,http://savorbeauty.com/
