name,address,lat,lon,website,source,contact_email,mission_excerpt,crawled_urls
Zhen Pin Café,"98 Mott St Unit 1, New York, NY 10013, USA",40.7171726,-73.9972861,,google,,,
Yaya Tea Downtown BKLYN,"80 DeKalb Ave, Brooklyn, NY 11201, USA",40.6896359,-73.98004929999999,https://yayatea.com/store/dekalb-downtown-brooklyn-ny/,google,,,https://yayatea.com/store/dekalb-downtown-brooklyn-ny/ https://yayatea.com/contact/ https://yayatea.com
TeaMakers,"15 W 32nd St, New York, NY 10001, USA",40.7476395,-73.9864119,http://www.teamakersnyc.com/,google,,Our drinks are made from high quality tea leaves and selected ingredients. All products are 100% guaranteed to arrive fresh and tasty. We test the tea leaves each growing season and all ingredients from time to time to ensure our drinks’ consistent and quality. Best tea needs the best ingredients and we insist on the best for you!,http://www.teamakersnyc.com/ https://www.teamakersnyc.com/about-teamakers http://www.teamakersnyc.com
PARTEA NYC - Union Square,"220 E 14th St, New York, NY 10003, USA",40.7327509,-73.9863838,http://www.partea-nyc.com/,google,hello@partea-nyc.com,,http://www.partea-nyc.com/ http://www.partea-nyc.com/contact-us http://www.partea-nyc.com
Rui Tea,"10 Provost St, Jersey City, NJ 07302, USA",40.7203375,-74.0391471,http://ruiteajc.com/,google,ruiteajc@gmail.com,"Contact us with any questions, feedback, or if you are looking to join our team!",http://ruiteajc.com/ https://www.ruiteajc.com/contact-us
Xing Fu Tang,"133 2nd Ave, New York, NY 10003, USA",40.7288305,-73.98785029999999,http://xingfutang.com/,google,,"Xing Fu Tang (幸福堂), known for making the best hand-crafted brown sugar boba from Taiwan, is finally here in the United States - featuring an open kitchen concept where boba pearls are freshly hand-made hourly and cooked to order for all guests to see what goes into their cups. Xing Fu Tang prides itself in delivering quality products to all guests by using only whole, natural ingredients, instead of artificial syrups and preservatives. All beverages and desserts at Xing Fu Tang are made to order using only high-quality ingredients imported from Taiwan, locally fresh produce, and organic milk. Our signature product is the Brown Sugar Boba Milk, which encompasses our freshly caramelized brown ",http://xingfutang.com/ http://xingfutang.com/about http://xingfutang.com/contact https://www.xingfutang.com/about http://xingfutang.com
Boba Guys Soho,"145 Greene St, New York, NY 10012, USA",40.726109,-73.998722,http://www.bobaguys.com/,google,info@bobaguys.com,"As we picked up momentum and developed a stronger point of view (e.g. high-quality ingredients, customer service, in-house production), we started seeing that our values transcended bubble tea. From our GOOD magazine column , people were emailing us about starting a business or even Chinese-Taiwanese politics. Some just wanted to be a part of something different. The love and support swelled up so much that we finally decided to open a store in summer 2013.",http://www.bobaguys.com/ http://www.bobaguys.com/our-story
Wolf forest cafe,"213 Pearl St, New York, NY 10038, USA",40.7072497,-74.0061764,http://www.wolfforestcafe.com/,google,,,http://www.wolfforestcafe.com/ https://www.wolfforestcafe.com/contact-us/ http://www.wolfforestcafe.com
Débutea Brooklyn,"71 Smith St, Brooklyn, NY 11201, USA",40.68935829999999,-73.98841469999999,http://www.debutea.com/,google,,,http://www.debutea.com/ http://www.debutea.com
Yaya Tea GRAND,"206 Grand St, New York, NY 10013, USA",40.7191263,-73.9963099,https://yayatea.com/store/little-italy-manhattan-ny/,google,,,https://yayatea.com/store/little-italy-manhattan-ny/ https://yayatea.com/contact/ https://yayatea.com
Dragon Tea,"106 Greenwich St, New York, NY 10006, USA",40.7085281,-74.0136016,https://www.dragontea914.com/,google,dragonbronxllc@gmail.com,"2368 Hoffman st, Bronx, NY 10458 914-218-1331 dragonbronxllc@gmail.com",https://www.dragontea914.com/ https://www.dragontea914.com/location/unna-bubbles-and-bites-dragon-teamed/
Caffe Vento Espresso & Boba,"555 W 38th St, New York, NY 10018, USA",40.7585432,-73.999612,,google,,,
Grace Street Coffee & Desserts,"17 W 32nd St 14th Floor, New York, NY 10001, USA",40.7477172,-73.98653019999999,https://www.bygracestreet.com/,google,hello@bygracestreet.com,"Located in the heart of New York’s Koreatown, we are easily accessible from the nearest B , D , F , N , Q , R , W , 4 , and 6 trains.",https://www.bygracestreet.com/ https://www.bygracestreet.com/contact
Yaya Tea,"51 Chrystie St, New York, NY 10002, USA",40.7162347,-73.9949914,https://yayatea.com/store/chrystie-chinatown-manhattan-ny/,google,,,https://yayatea.com/store/chrystie-chinatown-manhattan-ny/ https://yayatea.com/contact/ https://yayatea.com
uluhuluh,"218 E 14th St, New York, NY 10003, USA",40.7326932,-73.9865216,http://www.instagram.com/uluhuluh.ny,google,,,
CoCo Fresh Tea & Juice,"420 Grand St, Jersey City, NJ 07302, USA",40.7186299,-74.0523443,http://cocobubbletea.com/,google,marketing@cocobubbletea.com,"CoCo Bubble Tea introduced its all-time favorite bubble tea to New York in the winter of 2011, opening its first store across the street from Baruch College. Over 13 years, we have opened 21 stores in New York, New Jersey, and Massachusetts.",http://cocobubbletea.com/ http://cocobubbletea.com/about
Brew Memories,"295 7th Ave, Brooklyn, NY 11215, USA",40.6677733,-73.9805664,https://www.bkbrewmemories.com/,google,,,https://www.bkbrewmemories.com/ https://www.bkbrewmemories.com
Christopher munch shop,"98 Christopher St, New York, NY 10014, USA",40.7332,-74.0046752,,google,,,
Sing NYC,"182 Bleecker St, New York, NY 10012, USA",40.7289284,-74.0010574,https://info6324968.wixsite.com/sing-nyc,google,,"Freshness in every bite is our promise — from classic Hong Kong flavors to creative specials that reflect The Authentic Taste. We blend tradition with innovation to serve food that’s comforting, exciting, and always made with heart.",https://info6324968.wixsite.com/sing-nyc https://info6324968.wixsite.com/sing-nyc/about-us
Lazy Sundaes,"170 Front St, Brooklyn, NY 11201, USA",40.7022694,-73.9856071,http://www.lazysundaes.com/,google,hello@lazysundaes.com,"We believe in celebrating the small victories; life’s hard, and you’ve earned it.",http://www.lazysundaes.com/ http://www.lazysundaes.com/about http://www.lazysundaes.com/contact-us
Juju Cafe and Deli,"143 Smith St, Brooklyn, NY 11201, USA",40.6869115,-73.9901908,http://instagram.com/jujucafe143,google,,,
Market Bar & Cafe,"41 Monroe St, New York, NY 10002, USA",40.7116577,-73.9946416,https://www.seamless.com/menu/ccs-cafe-41-monroe-st-new-york/265909?utm_source=seamless_iosapp&utm_medium=content_owned&utm_campaign=menushare,google,,,https://www.seamless.com/menu/ccs-cafe-41-monroe-st-new-york/265909?utm_source=seamless_iosapp&utm_medium=content_owned&utm_campaign=menushare https://www.seamless.com
